0.000000,0.000000
0.097199,0.082319
0.175049,0.164143
0.229268,0.245217
0.260429,0.325225
0.275136,0.403863
0.281442,0.480912
0.284430,0.556265
0.286266,0.629883
0.287705,0.701758
0.288986,0.771895
0.290184,0.840303
0.291320,0.906994
0.292401,0.971983
0.293432,1.035286
0.294414,1.096922
0.295347,1.156911
0.296235,1.215273
0.297078,1.272033
0.297877,1.327214
0.298635,1.380842
0.299353,1.432943
0.300032,1.483544
0.300674,1.532674
0.301281,1.580362
0.301854,1.626638
0.302395,1.671530
0.302904,1.715070
0.303385,1.757288
0.303837,1.798215
0.304263,1.837882
0.304664,1.876320
0.305040,1.913560
0.305394,1.949631
0.305700,1.984549
0.305924,2.018311
0.306361,2.055067
0.308562,2.098738
0.314010,2.150300
0.324439,2.210625
0.342089,2.280288
0.369730,2.359280
0.410507,2.446656
0.467518,2.540193
0.543077,2.636258
0.637774,2.730088
0.749598,2.816629
0.873453,2.891725
1.001092,2.953221
1.121180,3.001564
1.219744,3.039947
1.284099,3.074022
1.314062,3.110036
1.326234,3.151147
1.335981,3.197447
1.349238,3.248808
1.368353,3.305406
1.395207,3.367386
1.431918,3.434589
1.480919,3.506294
1.544822,3.580942
1.626073,3.655910
1.726412,3.727448
1.846222,3.790968
1.984032,3.841762
2.136670,3.876360
2.299497,3.892580
2.467458,3.890500
2.631427,3.876511
2.792657,3.854508
2.951799,3.826542
3.109231,3.793838
3.265183,3.757181
3.411940,3.720520
3.546610,3.685756
3.670234,3.652952
3.783748,3.622116
3.888005,3.593216
3.983776,3.566195
4.071768,3.540979
4.152622,3.517488
4.226927,3.495632
4.295219,3.475323
4.357993,3.456469
4.415697,3.438982
4.462441,3.403864
4.505446,3.371555
4.545010,3.341830
4.581409,3.314484
4.614897,3.289325
4.645705,3.266179
4.674048,3.244885
4.700125,3.225294
4.724115,3.207271
4.746185,3.190689
4.766491,3.175434
4.785171,3.161399
4.802358,3.148487
4.818169,3.136608
4.832716,3.125680
4.846098,3.115625
4.858410,3.106375
4.869738,3.097865
4.880159,3.090036
4.889746,3.082833
4.898566,3.076206
4.906681,3.070110
4.914146,3.064501
4.921015,3.059341
